CatalogID,ProductionDate,ReleaseDate,Number,ProductGroupID
4BE06F51-26A2-4E91-AECC-3275DF84A8C4,1998-01-28 12:48:31,1994-10-19 00:00:00,9802/9700,89FB1C3F-5F21-4FE9-A339-341AA83A5284
85EB0636-EA42-4359-A502-32BD917383E9,1989-06-21 17:03:20,1985-01-14 00:00:00,9802/5300,59DE41B8-D56A-401C-BE0E-39CA6404D531
470120E9-B81D-4484-8047-330C227720E4,,2004-05-01 00:00:00,9802/6510,01D72A7D-B1E6-4C44-9643-DCA8C8F95321
94A2DDAD-0D96-4A79-ADF7-3326418E5836,,2009-11-30 14:52:02,9812/3130,2675503F-282C-415E-875F-69B0A1EE808E
77F22CD3-1EB4-4786-99CF-339DD3C324A6,,2012-11-15 14:49:00,9822/0595,
AF9740A3-0FCC-46D4-988D-33E47937E07C,,2010-07-28 15:46:14,9822/0140,2B0BB246-BF29-4B57-B9DC-62A80A3C112A
B6153D2C-EF28-4258-9636-34E9ABD34637,,2001-02-19 00:00:00,9802/5970,59DE41B8-D56A-401C-BE0E-39CA6404D531
562C6D92-314A-4ECC-9911-351485A372BB,,2007-06-30 08:18:44,9812/3275,
85FE82EB-956D-403C-A005-356DF6C75A5B,,2013-01-18 10:27:30,9822/0620,
3CEF30C7-CF39-41D5-A68C-3618DCF45D86,,2014-09-12 09:19:28,9812/9260,FB1CD1A5-9047-4335-89DA-DF8139EC8172
EEF2ED68-62E2-4217-BAEB-361BA9FA71ED,,2010-07-19 11:01:41,9822/0195,B52A9096-4EFA-4004-BC6C-D0EA1E0BB202
58778317-D76F-44C7-8F87-36290773BC7A,,2011-04-26 17:05:18,9822/0370,59DE41B8-D56A-401C-BE0E-39CA6404D531
4EA14E29-97D7-4669-86DC-367F688C9963,,2008-05-01 00:00:00,9802/4770,BF54B40E-231F-4D60-A128-279000C1D624
609100E9-0A59-4F6C-A25B-36A7A549CCC1,,2009-12-01 09:13:47,9812/9100,
672AA0FE-7C59-4731-B71A-371324EADC12,,2011-12-16 09:45:17,9822/0485,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
3C852F1D-3C15-40D2-8119-3781DFEC2F98,,2013-02-01 15:01:32,9822/0630,
A38F961E-583A-4056-A652-38101391296C,,2013-10-17 15:57:13,9822/0770,59DE41B8-D56A-401C-BE0E-39CA6404D531
341D669B-E075-4133-99C9-385196503125,,2013-11-17 17:14:00,9822/0805,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
701A3E5B-F5DE-45C7-BAC4-38AC0F4E2B4B,,2012-11-12 17:00:19,9822/0585,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
765C18DD-5E25-4DCE-A2C1-38E55E9E71AC,,2007-11-01 00:00:00,9802/1040,4352820D-226D-4FA6-987C-BB96FE95B96F
B5CF14C8-000A-4179-8FC6-3907141BB9EE,2012-02-23 00:00:00,2004-04-22 00:00:00,9802/9910,D31CFBF9-DDE1-42A0-B736-E7A83C63574D
00B28547-321C-47B3-A9A7-396897D51C44,,2014-08-18 22:42:43,9822/0940,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
B16CD084-8E68-4A63-831D-3A64F365FFC6,,2009-01-03 08:59:54,9822/1055,
A9554915-B838-48E0-BC46-3A8C8A53DE57,2011-05-01 00:00:00,2010-08-31 15:43:36,9822/0145,CBBC753F-26FB-439E-99C7-99F7067409EC
9C68B20D-B173-42F8-9102-3ADB98BEC646,2013-06-28 00:00:00,2010-06-29 08:38:40,9822/0105,89FB1C3F-5F21-4FE9-A339-341AA83A5284
